city,latitude,longitude,timestamp,temperature_2m,windspeed_10m,precipitation,weathercode
Hamburg,53.55073,9.99302,2022-07-04T05:00,13.2,9.4,0.0,0
Hamburg,53.55073,9.99302,2022-07-04T06:00,13.6,9.4,0.0,0
Hamburg,53.55073,9.99302,2022-07-04T07:00,14.8,10.1,0.0,0
Hamburg,53.55073,9.99302,2022-07-04T08:00,16.2,12.0,0.0,0
Hamburg,53.55073,9.99302,2022-07-04T09:00,17.4,14.0,0.0,3
Hamburg,53.55073,9.99302,2022-07-04T10:00,18.3,14.2,0.0,3
Hamburg,53.55073,9.99302,2022-07-04T11:00,19.7,16.6,0.0,3
Hamburg,53.55073,9.99302,2022-07-04T12:00,20.6,18.6,0.0,2
Hamburg,53.55073,9.99302,2022-07-04T13:00,21.4,20.3,0.0,2
Hamburg,53.55073,9.99302,2022-07-04T14:00,21.5,19.2,0.0,2
Hamburg,53.55073,9.99302,2022-07-04T15:00,21.8,19.3,0.0,1
Hamburg,53.55073,9.99302,2022-07-04T16:00,22.4,20.5,0.0,1
Hamburg,53.55073,9.99302,2022-07-04T17:00,22.0,20.3,0.1,51
Hamburg,53.55073,9.99302,2022-07-04T18:00,21.6,20.6,0.1,51
Hamburg,53.55073,9.99302,2022-07-04T19:00,20.5,20.4,0.0,1
Hamburg,53.55073,9.99302,2022-07-04T20:00,18.1,18.1,0.0,1
Hamburg,53.55073,9.99302,2022-07-04T21:00,17.2,13.2,0.0,0
Hamburg,53.55073,9.99302,2022-07-04T22:00,16.0,10.3,0.0,0
Hamburg,53.55073,9.99302,2022-07-04T23:00,15.1,9.1,0.0,0
Hamburg,53.55073,9.99302,2022-07-05T00:00,14.0,7.3,0.0,0
Hamburg,53.55073,9.99302,2022-07-05T01:00,13.2,6.5,0.0,3
Hamburg,53.55073,9.99302,2022-07-05T02:00,14.0,9.2,0.0,3
Hamburg,53.55073,9.99302,2022-07-05T03:00,13.2,9.2,0.0,0
Hamburg,53.55073,9.99302,2022-07-05T04:00,12.5,10.6,0.0,0
Hamburg,53.55073,9.99302,2022-07-05T05:00,12.0,10.0,0.0,0
Hamburg,53.55073,9.99302,2022-07-05T06:00,12.4,10.7,0.0,0
Hamburg,53.55073,9.99302,2022-07-05T07:00,13.8,10.5,0.0,0
Hamburg,53.55073,9.99302,2022-07-05T08:00,15.6,11.3,0.0,0
Hamburg,53.55073,9.99302,2022-07-05T09:00,17.1,14.8,0.0,1
Hamburg,53.55073,9.99302,2022-07-05T10:00,18.1,17.2,0.0,1
Hamburg,53.55073,9.99302,2022-07-05T11:00,18.9,18.2,0.0,2
Hamburg,53.55073,9.99302,2022-07-05T12:00,19.0,19.1,0.0,2
Hamburg,53.55073,9.99302,2022-07-05T13:00,19.7,19.5,0.0,1
Hamburg,53.55073,9.99302,2022-07-05T14:00,20.5,18.2,0.0,2
Hamburg,53.55073,9.99302,2022-07-05T15:00,20.5,19.1,0.0,3
Hamburg,53.55073,9.99302,2022-07-05T16:00,19.7,19.2,0.0,2
Hamburg,53.55073,9.99302,2022-07-05T17:00,19.0,17.6,0.1,51
Hamburg,53.55073,9.99302,2022-07-05T18:00,18.2,14.7,0.2,51
Hamburg,53.55073,9.99302,2022-07-05T19:00,17.5,17.7,0.1,51
Hamburg,53.55073,9.99302,2022-07-05T20:00,16.8,13.6,0.2,51
Hamburg,53.55073,9.99302,2022-07-05T21:00,16.2,12.0,0.0,1
Hamburg,53.55073,9.99302,2022-07-05T22:00,14.6,9.9,0.0,2
Hamburg,53.55073,9.99302,2022-07-05T23:00,13.6,9.7,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T00:00,13.2,10.8,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T01:00,13.0,11.5,0.0,1
Hamburg,53.55073,9.99302,2022-07-06T02:00,13.4,13.3,0.0,2
Hamburg,53.55073,9.99302,2022-07-06T03:00,13.4,12.6,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T04:00,13.1,12.2,0.0,1
Hamburg,53.55073,9.99302,2022-07-06T05:00,12.7,11.2,0.0,1
Hamburg,53.55073,9.99302,2022-07-06T06:00,12.8,11.6,0.0,2
Hamburg,53.55073,9.99302,2022-07-06T07:00,13.7,15.8,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T08:00,14.2,16.9,0.3,51
Hamburg,53.55073,9.99302,2022-07-06T09:00,14.8,15.3,0.0,2
Hamburg,53.55073,9.99302,2022-07-06T10:00,15.3,17.6,0.1,51
Hamburg,53.55073,9.99302,2022-07-06T11:00,15.7,17.2,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T12:00,16.2,18.5,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T13:00,17.0,18.9,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T14:00,18.1,20.9,0.2,51
Hamburg,53.55073,9.99302,2022-07-06T15:00,18.4,21.0,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T16:00,18.5,21.5,0.1,51
Hamburg,53.55073,9.99302,2022-07-06T17:00,19.1,20.3,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T18:00,18.5,21.0,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T19:00,17.5,12.3,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T20:00,17.7,10.5,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T21:00,17.4,14.6,0.0,3
Hamburg,53.55073,9.99302,2022-07-06T22:00,16.4,17.1,0.1,51
Hamburg,53.55073,9.99302,2022-07-06T23:00,15.6,18.6,0.9,53
Hamburg,53.55073,9.99302,2022-07-07T00:00,15.0,19.0,0.3,51
Hamburg,53.55073,9.99302,2022-07-07T01:00,14.9,19.7,0.3,51
Hamburg,53.55073,9.99302,2022-07-07T02:00,14.5,17.5,0.3,51
